Rank,College Name,Undergraduate Tuition & Fees($),Graduate Tuition & Fees($),SAT Score,Acceptance Rate,Population,Graduation Rate,Student:Faculty Ratio
174,"University of Southern MississippiHattiesburg, MS",11618,11618,-,0.99,13110,0.51,15.00
175,"The University of Tennessee-KnoxvilleKnoxville, TN",31974,32108,1260,0.46,36304,0.73,18.00
176,"University of Colorado BoulderBoulder, CO",41943,38020,1330,0.83,41432,0.75,19.00
177,"Kent State University at KentKent, OH",20880,23352,1110,0.87,26106,0.65,21.00
178,"University of IowaIowa City, IA",32927,34882,1220,0.85,30042,0.73,15.00
179,"Montclair State UniversityMontclair, NJ",24126,15137,1080,0.87,22570,0.64,17.00
180,"The Catholic University of AmericaWashington, DC",55834,53220,-,0.84,5171,0.81,11.00
181,"Dallas Baptist UniversityDallas, TX",38140,24508,1089,0.91,4201,0.6,16.00
182,"San Diego State UniversitySan Diego, CA",20170,19228,-,0.34,39241,0.78,22.00
183,"Miami University-OxfordOxford, OH",38124,36338,1290,0.82,18618,0.82,15.00
184,"American International CollegeSpringfield, MA",42970,10983,-,0.97,2142,0.42,16.00
185,"Florida International UniversityMiami, FL",18964,24439,1150,0.59,53953,0.74,24.00
186,"Colorado State University-Fort CollinsFort Collins, CO",33765,29786,-,0.9,33500,0.67,17.00
187,"Oakland UniversityRochester Hills, MI",24737,24648,1110,0.7,15922,0.57,17.00
188,"University of Nebraska at OmahaOmaha, NE",22358,16860,-,0.87,15015,0.47,15.00
189,"Kansas State UniversityManhattan, KS",27816,25147,1140,0.79,19745,0.7,18.00
190,"University of Cincinnati-Main CampusCincinnati, OH",28240,26674,1250,0.88,43338,0.72,19.00
191,"University of West FloridaPensacola, FL",18658,24894,1120,0.57,14371,0.62,22.00
192,"University of California-Santa CruzSanta Cruz, CA",45337,29957,-,0.63,19764,0.74,22.00
193,"Portland State UniversityPortland, OR",28257,24693,-,0.91,20519,0.53,16.00
194,"Oregon State UniversityCorvallis, OR",35664,31698,-,0.79,35622,0.71,20.00
195,"Suffolk UniversityBoston, MA",45380,36336,1190,0.85,6697,0.6,15.00
196,"University of ArizonaTucson, AZ",38784,33961,1280,0.86,53001,0.66,19.00
